Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Suzuki Makoto,https://www.crunchbase.com/person/suzuki-makoto-1,,,,"Suzuki Makoto is the Co-Founder and CTO at Sonas. He completed his Doctoral course at Graduate School of Frontier Sciences, University of To...",,,,,,,,,,,"250,950"
Tyzza Macias,https://www.crunchbase.com/person/tyzza-macias,,,"Dallas/Fort Worth Metroplex, Texas, United States",Tyzza Macias,,,,,,,,,,,"250,949"
Summer Chen,https://www.crunchbase.com/person/summer-chen,,,,"Summer had more than seven years experience in PE and strategic investments while at professional firms (Legend, Accenture, KPMG) with solid...",,,,,,,,,,,"250,941"
Wendy Lean,https://www.crunchbase.com/person/wendy-lean,,,"Malaysia, Asia","Wendy Lean, Founder of Vase Creation. Her major in 'Branding' contributes greatly to the development and distribution of the brand to local ...",,,,,,,,,,,"250,946"
Harry Amster,https://www.crunchbase.com/person/harry-amster,,,,Harry Amster,,,,,,,,,,,"250,935"
Colin D. Chapman,https://www.crunchbase.com/person/colin-d-chapman,,,"San Francisco, California, United States","Colin is a partner in our Silicon Valley office, specializing in the areas of corporate partnering and strategic alliances, technology prote...",,,,,,,,,,,"250,951"
Rishi Das Agarwal,https://www.crunchbase.com/person/rishi-das-agarwal,,,"Delhi, Delhi, India",Rishi Das Agarwal,,,,,,,,,,,"250,937"
Larraine Segil,https://www.crunchbase.com/person/larraine-segil,,,"Los Angeles, California, United States","Larraine D. Segil is CEO of Larraine Segil Inc., consulting with companies on global strategy, management and alliances. Since 1991, she has...",,Seed,,,,,,,,,"250,940"
Mauricio Almeida,https://www.crunchbase.com/person/mauricio-almeida,,,"São Paulo, Sao Paulo, Brazil",Mauricio Almeida,,,,,,,,,,,"250,948"
Ken Sitti,https://www.crunchbase.com/person/ken-sitti,,,"Bangkok, Krung Thep, Thailand","Ken is a Digital Marketer, SEO, and Management Consultant with Entrepreneurial Mindset. He has a passion in building and leading businesses ...",,Seed,,,,,,,,,"250,936"
Wang Bing,https://www.crunchbase.com/person/wang-bing-0dbd,,,,Wang Bing,Investment Partner,,,1,,,,,,,"250,958"
Ioa ue,https://www.crunchbase.com/person/jon-gurakuqi,,,,"Entreprenuer , Investor",,,,,,,,,,,"250,959"
Lee Gi-ha,https://www.crunchbase.com/person/lee-gi-ha,,,,Lee Gi-ha is the CEO of Primer Saje Partners.,Investment Partner,,,1,,,,,,,"250,960"
Dan Nicholson,https://www.crunchbase.com/person/dan-nicholson-537d,,,"Rochester, Michigan, United States","Dan Nicholson is the Vice President of Electrification, Controls, Software & Electronics, and General Motors.",,,,,,,,,,,"250,961"
Lee Tae-yang,https://www.crunchbase.com/person/lee-tae-yang,,,,Lee Tae-yang serves as chief judge of Blue Point Partners.,Investment Partner,,,1,,,,,,,"250,962"
Rémy Beaumont,https://www.crunchbase.com/person/rémy-beaumont,,,"Quebec, Quebec, Canada",Rémy Beaumont - Managing Director @ Hacking Health Accelerator,,,,,,,,,,,"250,963"
Yan Jiandong,https://www.crunchbase.com/person/yan-jiandong,,,,Yan Jiandong is the Chairman of Bell Tower Financial Holdings.,Investment Partner,,,1,,,,,,,"250,964"
Zane Hendricks,https://www.crunchbase.com/person/zane-hendricks-715d,,,,Zane Hendricks vice president of Midwest Growth Partners,Investment Partner,,,1,,,,,,,"250,965"
Luke Alexander,https://www.crunchbase.com/person/luke-alexander-410c,,,,"Luke Alexander brings extensive resource sector experience, knowledge and contacts to Newcore, particularly in West Africa. He has raised bi...",,,,,,,,,,,"250,971"
Robyn Coles,https://www.crunchbase.com/person/robyn-coles-bf3d,1,,,Robyn Coles,Individual/Angel,,1,,,,,,,,"250,966"
Joshua Larson,https://www.crunchbase.com/person/joshua-larson-ma,,,"Barnstable, Massachusetts, United States",Joshua Larson,,,,,,,,,,,"250,917"
Murray Wilson,https://www.crunchbase.com/person/murray-wilson,,,,"Murray joined River Cities in 1995 following the launch of Fund I in 1994. Prior to River Cities, he was the first associate hired at anothe...",,,,,,,,,,,"250,993"
Victor Odinets,https://www.crunchbase.com/person/victor-odinets,,,,Victor Odinets,,,,,,,,,,,"250,992"
André Harrell,https://www.crunchbase.com/person/andré-harrell,,,"New Hope, Pennsylvania, United States","A cross-functional leader with close to 30 years’ experience in the life sciences, medical devices, consumer goods and chemicals industry.",,,,,,,,,,,"250,984"
Antoine Buat,https://www.crunchbase.com/person/antoine-buat,,,"Aix-en-provence, Provence-Alpes-Cote d'Azur, France",Antoine Buat,,,,,,,,,,,"250,973"
Rubab Hassan,https://www.crunchbase.com/person/rubab-hassan,,,"Dubai, Dubai, United Arab Emirates",Rubab Hassan,,,,,,,,,,,"250,909"
Gurpreet Singh,https://www.crunchbase.com/person/gurpreet-singh-3c82,,,"Chandigarh, Chandigarh, India",Gurpreet Singh,,,,,,,,,,,"250,970"
SANGEETHA KUPPURAJ,https://www.crunchbase.com/person/sangeetha-kuppuraj-0ef1,,,,SANGEETHA KUPPURAJ,Investment Partner,,,1,,,,,,,"250,921"
Morwenna Porter,https://www.crunchbase.com/person/morwenna-porter,,,,Morwenna joined Sigma Inpartnership in November 2011 as Office Manager and Project Team Assistant for the Manchester office. Morwenna covers...,,,,,,,,,,,"250,925"
Arthi Singaravelan,https://www.crunchbase.com/person/arthi-singaravelan,,,,Arthi Singaravelan,,,,,,,,,,,"250,969"
Michael Coupland,https://www.crunchbase.com/person/michael-coupland-ef73,,,"London, England, United Kingdom","Michael Coupland, Investment Director at Connection Capital.",Investment Partner,,,1,,,,,,,"250,986"
Stephen Way,https://www.crunchbase.com/person/stephen-way,,,"Brunswick, Ohio, United States",Stephen Way,,,,,,,,,,,"250,991"
Kenji Ohmori,https://www.crunchbase.com/person/kenji-ohmori,,,"Ibaraki, Japan, Asia",Kenji Ohmori joined Device Lab as Co-Founder & CEO in 2017.,,,,,,,,,,,"250,974"
Brando Bigazzi,https://www.crunchbase.com/person/brando-bigazzi,,,,Brando Bigazzi,,,,,,,,,,,"250,975"
Danney Velazquez,https://www.crunchbase.com/person/danney-velazquez,,,"United States, North America","I'm a journalist, poet, writer, and mixed media artist.  Art is my way to stay in the world. EN/SPA",,,,,,,,,,,"250,976"
