Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
Western Australian Investment Attraction Fund,https://www.crunchbase.com/organization/western-australian-investment-attraction-fund,1,1,,The Investment Attraction Fund (IAF) is a Western Australian government fund of $100 million that supports new and emerging industries.,Government Office,Grant,1,"150,247"
Information Governance Initiative,https://www.crunchbase.com/organization/information-governance-initiative,,,"New York, New York, United States",A think tank and community dedicated to advancing the adoption of Information Governance (IG) practices and technologies.,Government Office,,,"150,069"
Global Innovation Through Science and Technology,https://www.crunchbase.com/organization/global-innovation-through-science-and-technology-gist,1,,"Arlington, Virginia, United States",The GIST initiative builds entrepreneurial ecosystems in 54 countries.,University Program,,,"149,943"
Vaccine Community Innovation Challenge,https://www.crunchbase.com/organization/vaccine-community-innovation-challenge,1,,"Ottawa, Ontario, Canada",Vaccine Community Innovation Challenge acknowledges the importance of community-driven projects in promoting vaccine trust.,Government Office,,1,"149,455"
Fundação de Amparo à Pesquisa do Estado de Goiás,https://www.crunchbase.com/organization/fapeg-fundação-de-amparo-à-pesquisa-do-estado-de-goiás,1,,"Goiânia, Goias, Brazil","FAPEG promotes scientific, technological and innovation research that can help the socioeconomic and cultural development of the State.",Government Office,,,"148,834"
The Lennox Partnership,https://www.crunchbase.com/organization/the-lennox-partnership,,,"Glasgow, Glasgow City, United Kingdom",A Social Enterprise with more than 25 years specialist experience of getting Scotland into work.,Government Office,,,"148,739"
HSE INC,https://www.crunchbase.com/organization/hse-inc,,,"Moscow, Moscow City, Russian Federation",One of the most effective startup hubs in Russia founded by National Research University Higher School of Economics.,"Accelerator, Incubator, University Program",Seed,,"148,442"
Office for Zero Emission Vehicles,https://www.crunchbase.com/organization/office-for-zero-emission-vehicles,1,1,"London, England, United Kingdom",Office for Zero Emission Vehicles is a team working across the government to support the transition to zero-emission vehicles (ZEVs).,Government Office,,,"148,038"
UBIC,https://www.crunchbase.com/organization/ubic-2,,,"Bath, Bath and North East Somerset, United Kingdom",The University of Bath Innovation Centre - for high-growth potential businesses and the entrepreneurs that create them.,University Program,,,"147,923"
Energy Efficiency and Renewable Energy (EERE),https://www.crunchbase.com/organization/eere,,,"Washington, District of Columbia, United States",EERE provides development and facilitates deployment of energy efficiency and renewable energy technologies.,Government Office,,,"147,767"
Zhejiang Peking University Collaborative Innovation Investment Management,https://www.crunchbase.com/organization/zhejiang-peking-university-collaborative-innovation-investment-management,2,,,Zhejiang Peking University Collaborative Innovation Investment Management is an investment Firm.,University Program,,2,"147,678"
King Abdullah Fund for Development (KAFD),https://www.crunchbase.com/organization/king-abdullah-fund-for-development-kafd,,,"Amman, Amman, Jordan",King Abdullah Fund for Development (KAFD) is the Innovative Start-ups and SMEs Fund (ISSF) and the Arab Bank.,University Program,,,"146,782"
Invest Mons Borinage Centre,https://www.crunchbase.com/organization/invest-mons-borinage-centre,3,,"Mons, Hainaut, Belgium","IIMBC is particularly active in the agri-food, technology, and environmental sectors.",Government Office,,1,"146,762"
ALS Society of Canada,https://www.crunchbase.com/organization/als-society-of-canada,1,,"Markham, Ontario, Canada",ALS Canada is a national organization responsible for the ALS Canada Research Program.,Government Office,,,"145,764"
Small Business Capital,https://www.crunchbase.com/organization/small-business-capital,,,,"Small Business Capital non-profit organization ,it provide the loan program.",Government Office,,,"145,721"
Prefeitura Municipal de Porto Alegre,https://www.crunchbase.com/organization/prefeitura-municipal-de-porto-alegre-9f01,1,,"Porto Alegre, Rio Grande do Sul, Brazil","Municipal government of the city of Porto Alegre, RS, Brazil.",Government Office,,1,"145,525"
Department for Economy’s Economic Recovery Action Plan,https://www.crunchbase.com/organization/department-for-economy-s-economic-recovery-action-plan,1,,"Belfast, Belfast, United Kingdom",The Department for Economy’s Economic Recovery Action Plan sets out a range of decisive actions to kick-start economic recovery.,Government Office,,1,"145,466"
Greater Manchester AI Foundry,https://www.crunchbase.com/organization/greater-manchester-ai-foundry,1,,"Manchester, Manchester, United Kingdom",Greater Manchester AI Foundry collectively offer a business support programme for small to medium-sized (SMEs) businesses,University Program,Non Equity Assistance,,"145,437"
Carnegie Mellon University - Swartz Center for Entrepreneurship,https://www.crunchbase.com/organization/carnegie-mellon-university-swartz-center-for-entrepreneurship,6,,"Pittsburgh, Pennsylvania, United States","It is a system of programs and activities that offers a unique entrepreneurship education, engagement, collaboration and opportunity.",University Program,,6,"145,319"
Western Association of Venture Capitalists,https://www.crunchbase.com/organization/western-association-of-venture-capitalists,,,"Menlo Park, California, United States",Western Association of Venture Capitalists is a non-profit trade association that provides services for West Coast venture capitalists.,Government Office,,,"145,171"
Princeton eLab,https://www.crunchbase.com/organization/princeton-elab,,,"Princeton, New Jersey, United States",Providing a launch pad to Princeton University’s most dynamic entrepreneurs,University Program,,,"144,920"
Spinventure,https://www.crunchbase.com/organization/spinventure,6,1,"Angleur, Liege, Belgium",Spinventure supports the creation of spin-off companies that aim to industrialize and commercialize the result of scientific research.,"Government Office, Venture Capital",,,"144,803"
United Way of Charlotte County,https://www.crunchbase.com/organization/united-way-of-charlotte-county,1,,"Port Charlotte, Florida, United States","United Way of Charlotte County brings together community organisations, corporations, and government to effect long-term social change.",Government Office,,1,"144,685"
Government of the Republic of Rwanda,https://www.crunchbase.com/organization/government-of-the-republic-of-rwanda,4,1,"Kigali, Butare, Rwanda","Rwanda existed as a centralized monarchy under a succession of Tutsi kings from one clan, who ruled through cattle chiefs, land chiefs.",Government Office,,2,"144,590"
Sirti Technology Growth Fund,https://www.crunchbase.com/organization/sirti-technology-growth-fund,1,,"Spokane, Washington, United States",Sirti is a Washington State economic development agency that accelerates the development and growth of innovative technology companies in,Government Office,,1,"144,550"
Imepe Alcorcon,https://www.crunchbase.com/organization/imepe-alcorcon,,,"Alcorcón, Madrid, Spain",Municipal Institute of Employment and Economic Development Alcorcon - Advice for entrepreneurs.,University Program,,,"144,307"
Global Britain Investment Fund,https://www.crunchbase.com/organization/global-britain-investment-fund,1,1,,Global Britain Investment Fund provide grants to encourage internationally mobile companies.,Government Office,Grant,1,"144,152"
"Jingzhou Gucheng State-owned Investment Co., Ltd",https://www.crunchbase.com/organization/jingzhou-gucheng-state-owned-investment-co-ltd,11,3,"Jingzhou, Hubei, China","Jingzhou Gucheng State-owned Investment Co., Ltd is an investment company.",Government Office,,1,"143,987"
Startup University Ventures,https://www.crunchbase.com/organization/startup-university-ventures,,,"Madrid, Madrid, Spain",Startup University Ventures is an acceleration boutique for startups in seed and early-stage phases.,University Program,,,"143,870"
Master of Technology Management and Entrepreneurship,https://www.crunchbase.com/organization/master-of-technology-management-and-entrepreneurship,1,,"Saint John, New Brunswick, Canada",MTME is provides the theoretical understanding and the hands-on experience to create a startup.,"Entrepreneurship Program, University Program",,1,"143,123"
Deutschen Bundesstiftung Umwelt,https://www.crunchbase.com/organization/deutschen-bundesstiftung-umwelt,2,,"Osnabrück, Niedersachsen, Germany","The DBU funds innovative, exemplary and solution-oriented projects for the protection of the environment, with special consideration of SMEs",Government Office,,1,"143,082"
Mofet Technology Fund,https://www.crunchbase.com/organization/mofet-technology-fund,8,2,"Herzliya, Tel Aviv, Israel","Finance: Public venture capital fund which focuses on leading-edge technological sectors such as communications, telecommunications,","Government Office, Venture Capital","Early Stage Venture, Late Stage Venture",,"142,672"
Archimedes Foundation,https://www.crunchbase.com/organization/archimedes-foundation,,,,Grants,University Program,,,"142,503"
The Adventure Project,https://www.crunchbase.com/organization/the-adventure-project,,,"New York, New York, United States","We help create entrepreneurs, so they can serve their own communities with improved health, decreased hunger, and clean water.",Government Office,,,"142,324"
Middle East Partnership Initiative,https://www.crunchbase.com/organization/middle-east-partnership-initiative,,,"Washington, District of Columbia, United States",MEPI is an integral part of the US Government’s committed efforts to support the peoples of the Middle East and North Africa region.,Government Office,,,"142,162"
