Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
IBG Beteiligungsgesellschaft Sachsen-Anhalt,https://www.crunchbase.com/organization/ibg-beteiligungsgesellschaft,22,3,"Magdeburg-rothensee, Sachsen-Anhalt, Germany",IBG Beteiligungsgesellschaft Sachsen-Anhalt is a venture capital firm makes investments in territories such as Germany and Denmark.,"Government Office, Venture Capital",Late Stage Venture,3,"65,183"
RÉGION OCCITANIE,https://www.crunchbase.com/organization/region-occitanie,4,1,"Toulouse, Midi-Pyrenees, France","RÉGION OCCITANIE provides authority over economic development, long-term land use planning, and transportation.",Government Office,,1,"65,178"
The Freight Innovation Fund,https://www.crunchbase.com/organization/the-freight-innovation-fund,8,,,The Freight Innovation Fund to help small and medium-sized enterprises (SMEs) to develop greener and more efficient solutions for freight.,Government Office,Grant,8,"65,041"
Chonnam National University Technology Holdings,https://www.crunchbase.com/organization/chonnam-national-university-technology-holdings,7,,"Gwangju, Kwangju-jikhalsi, South Korea",Chonnam National University Technology Holdings is a financial service company that specializes in investment and funding services.,University Program,,2,"64,937"
United States Department of Labor,https://www.crunchbase.com/organization/united-states-department-of-labor,1,,"San Francisco, California, United States","U.S DOL is a department responsible for occupational safety, wage, hour standards, unemployment insurance benefits, & reemployment services.",Government Office,,1,"64,673"
UVCA (Ukrainian Venture Capital & Private Equity Association),https://www.crunchbase.com/organization/uvca-ukrainian-venture-capital-private-equity-association,1,,"Kyiv, Kyyiv, Ukraine",UVCA promotes investment opportunities and conducts market research for improving Ukraine's investment climate.,Government Office,,,"64,656"
Digital Switzerland,https://www.crunchbase.com/organization/digital-switzerland,2,1,"Zürich, Zurich, Switzerland",DigitalSwitzerland aims to strengthen Switzerland as a digital hub.,Government Office,,,"64,576"
UNCTAD,https://www.crunchbase.com/organization/unctad,1,,"Geneva, Geneve, Switzerland","UNCTAD is an intergovernmental body that provides analysis, consensus-building, and technical assistance services on trade & development.",Government Office,,1,"64,568"
Yale Medicine,https://www.crunchbase.com/organization/yale-medicine,1,,"New Haven, Connecticut, United States",The Yale School of Medicine's medical department operates under the name Yale Medicine.,University Program,,,"64,540"
Department of Cannabis Control,https://www.crunchbase.com/organization/department-of-cannabis-control,9,,"Rancho Cordova, California, United States","Department of Cannabis Control advances and facilitates a well-regulated, legal market that benefits all Californians.",Government Office,,9,"64,505"
Sherfey Investment Firm LLC,https://www.crunchbase.com/organization/sherfey-investment-firm-llc,,,"Edinburg, Virginia, United States",Intelligently crafted investment strategies.,"Angel Group, Corporate Venture Capital, Entrepreneurship Program, Government Office, Investment Bank, Private Equity Firm, Venture Capital","Private Equity, Venture",,"64,505"
Pipeline and Hazardous Materials Safety Administration,https://www.crunchbase.com/organization/pipeline-and-hazardous-materials-safety-administration,1,,"Washington, District of Columbia, United States",Pipeline and Hazardous Materials Safety Administration is to protect people and the environment through the safe transportation of energy.,Government Office,,1,"64,453"
Innovatech Québec,https://www.crunchbase.com/organization/innovatech-qubec,14,4,"Quebec, Quebec, Canada",Innovatech Québec is a $125M early stage venture capital fund owned by the Government of Quebec.,"Government Office, Venture Capital","Early Stage Venture, Post-Ipo",1,"64,408"
U-M Center for Entrepreneurship,https://www.crunchbase.com/organization/u-m-center-for-entrepreneurship,,,"Ann Arbor, Michigan, United States",U-M Center for Entrepreneurship is a place with deep traditions focused on creating brighter futures.,University Program,,,"64,331"
Corporation for National and Community Service,https://www.crunchbase.com/organization/corporation-for-national-and-community-service,3,,"Washington, District of Columbia, United States",Corporation for National and Community Service is a U.S. federal government agency that engages Americans in service through its programs.,Government Office,,,"64,301"
Arizona Department of Health Services,https://www.crunchbase.com/organization/arizona-department-of-health-services,1,,"Phoenix, Arizona, United States",The Arizona Department of Health Services is dedicated to Health and Wellness for All Arizonans.,Government Office,,1,"64,183"
Veterans Affairs Canada,https://www.crunchbase.com/organization/veterans-affairs-canada,23,,"Matane, Quebec, Canada","Veterans Affairs Canada is the department within the Government of Canada with responsibility for pensions, benefits and services.",Government Office,,23,"64,112"
South Dakota Governor’s Office of Economic Development,https://www.crunchbase.com/organization/south-dakota-governor-s-office-of-economic-development,2,,"Pierre, South Dakota, United States",South Dakota Governor’s Office of Economic Development works to expand primary job opportunities for all South Dakotans.,Government Office,,2,"64,092"
Stavanger Kommune,https://www.crunchbase.com/organization/stavanger-kommune,1,,"Stavanger, Rogaland, Norway","The companies supply social-critical services such as fire prevention, renovation, power and water supply.",Government Office,,1,"63,834"
Suzhou Industrial Park Optical Communication Industry Alliance,https://www.crunchbase.com/organization/suzhou-industrial-park-optical-communication-industry-alliance,5,1,"Suzhou, Jiangsu, China",Suzhou Industrial Park Optical Communication Industry Alliance.,Government Office,,,"63,692"
The Korea Agriculture Technology Promotion Agency,https://www.crunchbase.com/organization/the-korea-agriculture-technology-promotion-agency,1,,"Iksan, Cholla-bukto, South Korea",Korea Agriculture Technology Promotion Agency promotes the commercialization of agricultural science and technology R and D achievements.,Government Office,,,"63,646"
Minerals Income Investment Fund,https://www.crunchbase.com/organization/minerals-income-investment-fund,2,2,"Accra, Greater Accra, Ghana",Minerals Income Investment Fund is a sovereign wealth fund for minerals.,Government Office,,2,"63,617"
Essex Innovation,https://www.crunchbase.com/organization/essex-innovation,3,1,"Chelmsford, Essex, United Kingdom","Essex Innovation Programme is an regional economic development program for startup companies in Essex County, UK.","Government Office, Venture Capital",,,"63,567"
Ohio Department of Natural Resources (ODNR),https://www.crunchbase.com/organization/ohio-department-of-natural-resources-odnr,1,,"Columbus, Ohio, United States",Ohio Department of Natural Resources is the administrative department of the Ohio state government,Government Office,,1,"63,484"
University of Chicago New Venture Challenge,https://www.crunchbase.com/organization/university-of-chicago-new-venture-challenge,12,,"Chicago, Illinois, United States","Launched in 1996, the Edward L. Kaplan, '71, New Venture Challenge (NVC) is one of the nation's premier business launch programs.","Accelerator, University Program",,10,"63,284"
Neotec Capital Riesgo,https://www.crunchbase.com/organization/neotec-capital-riesgo,10,2,"Madrid, Madrid, Spain","Neotec Capital Riesgo, a Spanish fund launched by the European Investment Fund (EIF) and the Centre for the Development of Industrial","Government Office, Venture Capital",Early Stage Venture,1,"63,091"
USDA Animal and Plant Health Inspection Service,https://www.crunchbase.com/organization/usda-animal-and-plant-health-inspection-service,2,,"Washington, District of Columbia, United States",APHIS is a government institution tasked with ensuring the health of America's agricultural and natural resources.,Government Office,,2,"63,023"
Kansas Department for Aging and Disability Services,https://www.crunchbase.com/organization/kansas-department-for-aging-and-disability-services,1,,"Topeka, Kansas, United States","Kansas Department for Aging and Disability Services promotes security, dignity and independence for Kansans.",Government Office,,1,"63,017"
Invest Victoria,https://www.crunchbase.com/organization/invest-victoria-9063,2,,"Melbourne, Victoria, Australia","Invest Victoria is the State Government of Victoria's investment attraction agency, fostering long term economic prosperity for Victoria.",Government Office,,,"62,994"
Privacy-Enhancing Technologies (PETs) Prize Challenges,https://www.crunchbase.com/organization/privacy-enhancing-technologies-pets-prize-challenges,2,,,Privacy-Enhancing Technologies (PETs) Prize Challenges launched by Innovate UK and the U.S. National Science Foundation.,Government Office,,2,"62,931"
Louisville Metro Government,https://www.crunchbase.com/organization/louisville-metro-government,1,,"Louisville, Kentucky, United States",Louisville Metro Government is a statistical entity in the U.S. state of Kentucky.,Government Office,,1,"62,589"
Prosper Africa,https://www.crunchbase.com/organization/prosper-africa,2,,"Washington, District of Columbia, United States",Prosper Africa is a U.S. Government initiative to increase trade and investment between African nations and the United States.,Government Office,,2,"62,448"
