Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Zeiger Capital Management,https://www.crunchbase.com/organization/zeiger-capital-management,"Construction, Financial Services, Real Estate, Real Estate Investment","Irvine, California, United States",Zeiger Capital Management is a research and management firm devoted to the systematic identification of opportunities in financial markets.,"584,078","Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,1991-01-01,year,,,,,For Profit,http://zcm.com/,,"Financial Services, Real Estate",,,51-100,,,,,,,,,,,,,Private,,,,,,
Bluestar Ventures,https://www.crunchbase.com/organization/bluestar-ventures,"Finance, Financial Services, Venture Capital","Chicago, Illinois, United States",Bluestar Ventures is a venture capital firm specializing in early stage investments.,"584,079","Greater Chicago Area, Great Lakes, Midwestern US",,Closed,2000-01-01,year,,,,none,For Profit,http://www.bluestarventures.com,"Bluestar Ventures is a Financial Services company located in 208 S La Salle St # 1020, Chicago, Illinois, United States.","Financial Services, Lending and Investments",,,,,,,,,,,,,,,,Private,,,,,,
Quantum FBI,https://www.crunchbase.com/organization/quantum-0e2f,"Accounting, Business Development, Finance, Management Consulting, Professional Services","New York, New York, United States",Quantum FBI is a strategic finance and business intelligence consulting firm.,"584,081","Greater New York Area, East Coast, Northeastern US",$50M to $100M,Active,2016-01-01,year,,,,,For Profit,https://quantumfbi.com,"Quantum FBI is a professional services firm that brings together technology, talent, and finance to offer clients support and strategic insight through expertise, data, and analytics. Their early-stage and middle-market clients improve their operating performance and accelerate growth with cloud-based solutions and business intelligence.","Financial Services, Other, Professional Services",,,11-50,,,,,,,,,,,,,Private,,,,,,
Lucintech,https://www.crunchbase.com/organization/lucintech,"Aerospace, Semiconductor, Solar","Toledo, Ohio, United States",Lucintech develops applications of thin-film photovoltaic cells and modules.,"584,082","Great Lakes, Midwestern US",,Active,2008-01-01,day,,,,,For Profit,http://lucintech.com/,,"Energy, Hardware, Natural Resources, Science and Engineering, Sustainability",,,1-10,,,,,,,,,,,,,Private,,,,,,
WLR Automotive Group,https://www.crunchbase.com/organization/wlr-automotive-group,"Automotive, CleanTech, Professional Services","Frederick, Maryland, United States","WLR Automotive Group is an automobile servicing firm that offers auto repairs, spa, detailing, and oil change packages.","584,085","Washington DC Metro Area, East Coast, Southern US",$10M to $50M,Active,1987-01-01,year,,,,,For Profit,https://washluberepair.com,,"Other, Sustainability, Transportation",,,251-500,,,,,,,,,,,,,Private,,,,,,
Kernel Season’s,https://www.crunchbase.com/organization/kernel-season-s,"Food and Beverage, Retail, Wine And Spirits","Elk Grove Village, Illinois, United States",Kernel Season’s is a Chicago-based maker of popcorn seasoning.,"584,085","Greater Chicago Area, Great Lakes, Midwestern US",,Active,1999-01-01,year,2020-05-05,day,,,For Profit,http://www.kernalseasons.com/,"Chicago Custom Foods, the maker of Kernel Season's popcorn seasonings and Tasty Shakes oatmeal add-ins, is a leader in branded seasonings sold to consumers at movie theaters and retailers, including mass merchants, grocery stores and specialty retailers throughout North America and internationally.","Commerce and Shopping, Food and Beverage",,,101-250,,M&A,,,,,,,,,,,Private,,,,,,
Ortoli Rosenstadt,https://www.crunchbase.com/organization/ortoli-rosenstadt,"Hedge Funds, Legal, Real Estate","Nyack, New York, United States","Ortoli Rosenstadt offers advice on placement memorandums, global mobility, real estate, capital market, litigation, and arbitration service.","584,085","Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,2006-01-01,year,,,,,For Profit,https://www.orllp.legal,,"Financial Services, Lending and Investments, Professional Services, Real Estate",1,William Rosenstadt,11-50,,,,,,,,,,,,,Private,,,,,,
International PaperBox,https://www.crunchbase.com/organization/international-paperbox,"Food and Beverage, Manufacturing","South Salt Lake, Utah, United States",International PaperBox is a packaging and containers company that manufactures labeling machines and fruit labels.,"584,089",Western US,$10M to $50M,Active,1988-01-01,year,,,,,For Profit,http://ipaperbox.com,,"Food and Beverage, Manufacturing",,,101-250,,,,,,,,,,,,,Private,,,,,,
ZenDCA,https://www.crunchbase.com/organization/zendca,"Bitcoin, Cryptocurrency, Finance, Financial Services, FinTech","Milford, Massachusetts, United States","Dollar cost average with Bitcoin and Crypto currencies, while saving on fees.","584,093","East Coast, New England, Northeastern US",,Active,2022-05-09,day,,,,,For Profit,https://zendca.com,"ZenDCA is an application to automatically purchase or withdraw crypto currencies. It helps users utilize the dollar cost averaging (DCA) investment strategy with repeat buy schedules. It also helps users keep their crypto currencies safe, by withdrawing them from exchanges (not your keys, not your coins). It works by connecting with the user's crypto currency exchange account, as ZenDCA is not an exchange. Currently we integrate with 4 popular and secure US exchanges. Once connected, you can create as many schedules as your plan allows and we'll do the rest. Crypto currencies are purchased with the USD funds on your exchange account, not with your connected bank account. However, we help you stay on top of that with emails and helpful notifications about your USD balance.","Blockchain and Cryptocurrency, Financial Services, Payments, Software",1,Demitry Toumilovich,1-10,,,,,,,,,,,,,Private,,,,,,
Woodstock Academy,https://www.crunchbase.com/organization/woodstock-academy,"Education, Higher Education, Knowledge Management","Woodstock, Connecticut, United States","Woodstock Academy is an independent day and boarding, co-educational, college preparatory high school for grades 9-12 and postgraduates.","584,094","East Coast, New England, Northeastern US",,Active,1801-01-01,year,,,,,For Profit,https://www.woodstockacademy.org/#calendar3577/20210513/month,,"Administrative Services, Education, Other",,,,,,,,,,,,,,,,Private,,,,,,
Saginaw County Community Mental Health Authority,https://www.crunchbase.com/organization/saginaw-county-community-mental-health-authority,"Health Care, Medical, Wellness","Saginaw, Michigan, United States","SCCMHA is a non-profit organization that offers mental illness, intellectual & developmental disabilities, and other healthcare services.","584,095","Great Lakes, Midwestern US",,Active,1966-01-01,year,,,,,Non-profit,https://www.sccmha.org,,Health Care,,,251-500,,,,,,,,,,,,,Private,,,,,,
Adriatic Marine,https://www.crunchbase.com/organization/adriatic-marine,"Consulting, Marine Technology, Marine Transportation","Raceland, Louisiana, United States","Adriatic Marine provides offshore multi-purpose vessels, dive operations, exploration, construction, and housing services.","584,102",Southern US,$1M to $10M,Active,2006-01-01,year,,,,,For Profit,https://www.adriaticmarinellc.com,,"Professional Services, Science and Engineering, Transportation",,,11-50,,,,,,,,,,,,,Private,,,,,,
IMEC,https://www.crunchbase.com/organization/imec-b3e5,"Industrial, Manufacturing, Mechanical Engineering","Monett, Missouri, United States",IMEC is a manufacturing company that specializes in sheet metal fabrication services.,"584,105",Midwestern US,$1M to $10M,Active,1982-01-01,year,,,,,For Profit,http://imecmonett.com,,"Manufacturing, Science and Engineering",,,51-100,,,,,,,,,,,,,Private,,,,,,
Keystone,https://www.crunchbase.com/organization/keystone-substance-abuse-services,"Health Care, Non Profit, Outpatient Care, Wellness","Rock Hill, South Carolina, United States",Keystone Substance Abuse Services provides adult impacient and residential services.,"584,105","East Coast, Southern US",$1M to $10M,Active,1969-01-01,year,,,,,Non-profit,https://keystoneyork.org,"Keystone Substance Abuse Services provides adult outpatient, youth programs, adult programs, student assistance programs, financial assistance, medication-assisted treatment, education programs, residential services, and drug and alcohol safety action programs.","Health Care, Other, Social Impact",,,51-100,,,,,,,,,,,,,Private,,,,,,
CI Renewables,https://www.crunchbase.com/organization/ci-renewables,"Energy, Finance, Renewable Energy, Solar","Bedminster, New Jersey, United States","CI Renewables focuses on net-metered facilities for commercial, industrial, and institutional customers.","584,106","Greater New York Area, East Coast, Northeastern US",,Active,2020-01-01,year,,,,,For Profit,https://cirenew.com/,"CI Renewables focuses on net-metered facilities for commercial, industrial, and institutional customers, as well as landfill/brownfield opportunities. It provides turnkey, comprehensive solutions for companies and institutions with large electric loads and provides them with clean renewable energy at long-term prices, all without any capital investment.","Energy, Financial Services, Natural Resources, Sustainability",,,1-10,,,,,,,,,,,,1,Private,,,,,,
